"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Senile.coral.reef"
"135"	"f000/wlh2_000634.jpg"	0.22	0.648	0	0.132
"136"	"f000/wlh2_000905.jpg"	0.972	0.012	0	0.016
"137"	"f000/wlh2_000351.jpg"	0.964	0.022	0.004	0.01
"138"	"f000/wlh2_000064.jpg"	0.01	0.966	0	0.024
"139"	"f000/wlh2_000837.jpg"	0.226	0.112	0	0.662
"140"	"f000/wlh2_000690.jpg"	0.076	0.872	0	0.052
"141"	"f000/wlh2_000377.jpg"	0.876	0.064	0.002	0.058
"142"	"f000/wlh2_000424.jpg"	0.008	0.912	0	0.08
"143"	"f000/wlh2_000524.jpg"	0.994	0.002	0	0.004
"144"	"f000/wlh2_000083.jpg"	0.666	0.24	0.002	0.092
"145"	"f000/wlh2_000468.jpg"	0.988	0.006	0	0.006
"146"	"f000/wlh2_000102.jpg"	0.854	0.05	0	0.096
"147"	"f000/wlh2_000554.jpg"	0.998	0	0	0.002
"148"	"f000/wlh2_000104.jpg"	0.906	0.04	0.002	0.052
"149"	"f000/wlh2_000569.jpg"	0.996	0	0	0.004
"150"	"f000/wlh2_000151.jpg"	0.134	0.09	0.002	0.774
"151"	"f000/wlh2_000835.jpg"	0.978	0.006	0	0.016
"152"	"f000/wlh2_000014.jpg"	0.988	0.006	0	0.006
"153"	"f000/wlh2_000207.jpg"	0.142	0.728	0	0.13
"154"	"f000/wlh2_000367.jpg"	0.062	0.198	0	0.74
"155"	"f000/wlh2_000811.jpg"	0.014	0.204	0	0.782
"156"	"f000/wlh2_000516.jpg"	0.994	0.002	0	0.004
"157"	"f000/wlh2_000620.jpg"	0.05	0.92	0.002	0.028
"158"	"f000/wlh2_000523.jpg"	0.996	0.002	0	0.002
"159"	"f000/wlh2_000855.jpg"	0.978	0.02	0	0.002
"160"	"f000/wlh2_000431.jpg"	0.084	0.806	0	0.11
"161"	"f000/wlh2_000594.jpg"	0.772	0.136	0.006	0.086
"162"	"f000/wlh2_000268.jpg"	0.03	0.74	0	0.23
"163"	"f000/wlh2_000980.jpg"	0.998	0.002	0	0
"164"	"f000/wlh2_000231.jpg"	0.718	0.152	0	0.13
"165"	"f000/wlh2_000012.jpg"	0.998	0.002	0	0
"166"	"f000/wlh2_000077.jpg"	0.008	0.926	0	0.066
"167"	"f000/wlh2_000773.jpg"	0.94	0.024	0	0.036
"168"	"f000/wlh2_000948.jpg"	0.998	0.002	0	0
"169"	"f000/wlh2_000095.jpg"	0.612	0.16	0.004	0.224
"170"	"f000/wlh2_000406.jpg"	0.588	0.194	0.006	0.212
"171"	"f000/wlh2_000737.jpg"	0.854	0.082	0	0.064
"172"	"f000/wlh2_000363.jpg"	0.838	0.108	0	0.054
"173"	"f000/wlh2_000643.jpg"	0.026	0.288	0.002	0.684
"174"	"f000/wlh2_000050.jpg"	0.126	0.76	0.014	0.1
"175"	"f000/wlh2_000886.jpg"	0.012	0.674	0	0.314
"176"	"f000/wlh2_000810.jpg"	0.124	0.498	0.004	0.374
"177"	"f000/wlh2_000051.jpg"	0.176	0.706	0.01	0.108
"178"	"f000/wlh2_000171.jpg"	0.104	0.122	0.002	0.772
"179"	"f000/wlh2_000494.jpg"	1	0	0	0
"180"	"f000/wlh2_000496.jpg"	0.998	0	0	0.002
"181"	"f000/wlh2_000390.jpg"	0.052	0.172	0	0.776
"182"	"f000/wlh2_000054.jpg"	0.918	0.048	0	0.034
"183"	"f000/wlh2_000047.jpg"	0.86	0.074	0	0.066
"184"	"f000/wlh2_000548.jpg"	1	0	0	0
"185"	"f000/wlh2_000717.jpg"	0.426	0.212	0	0.362
"186"	"f000/wlh2_000830.jpg"	0.148	0.654	0	0.198
"187"	"f000/wlh2_000118.jpg"	0.114	0.154	0	0.732
"188"	"f000/wlh2_000024.jpg"	0.974	0.012	0	0.014
"189"	"f000/wlh2_000898.jpg"	0.796	0.118	0	0.086
"190"	"f000/wlh2_000015.jpg"	0.976	0.008	0	0.016
"191"	"f000/wlh2_000322.jpg"	0.766	0.166	0	0.068
"192"	"f000/wlh2_000721.jpg"	0.994	0.002	0	0.004
"193"	"f000/wlh2_000733.jpg"	0.036	0.196	0	0.768
"194"	"f000/wlh2_000925.jpg"	0	0.976	0	0.024
"195"	"f000/wlh2_000179.jpg"	0.084	0.17	0	0.746
"196"	"f000/wlh2_000253.jpg"	0.65	0.268	0	0.082
"197"	"f000/wlh2_000168.jpg"	0.52	0.24	0	0.24
"198"	"f000/wlh2_000668.jpg"	0	0.392	0	0.608
"199"	"f000/wlh2_000603.jpg"	0.196	0.7	0	0.104
"200"	"f000/wlh2_000344.jpg"	0.6	0.254	0.006	0.14
"201"	"f000/wlh2_000946.jpg"	0.998	0	0	0.002
"202"	"f000/wlh2_000702.jpg"	0.104	0.856	0	0.04
"203"	"f000/wlh2_000808.jpg"	0.016	0.262	0	0.722
"204"	"f000/wlh2_000375.jpg"	0.052	0.132	0.004	0.812
"205"	"f000/wlh2_000602.jpg"	0.17	0.716	0.002	0.112
"206"	"f000/wlh2_000121.jpg"	0.362	0.23	0.01	0.398
"207"	"f000/wlh2_000228.jpg"	0.022	0.27	0	0.708
"208"	"f000/wlh2_000707.jpg"	0.028	0.882	0	0.09
"209"	"f000/wlh2_000085.jpg"	0.08	0.788	0.004	0.128
"210"	"f000/wlh2_000947.jpg"	0.992	0.002	0	0.006
"211"	"f000/wlh2_000607.jpg"	0.636	0.28	0.002	0.082
"212"	"f000/wlh2_000498.jpg"	0.988	0.002	0.004	0.006
"213"	"f000/wlh2_000177.jpg"	0.076	0.078	0	0.846
"214"	"f000/wlh2_000076.jpg"	0.006	0.982	0	0.012
"215"	"f000/wlh2_000036.jpg"	0.954	0.03	0	0.016
"216"	"f000/wlh2_000380.jpg"	0.288	0.566	0.002	0.144
"217"	"f000/wlh2_000225.jpg"	0.318	0.372	0.006	0.304
"218"	"f000/wlh2_000763.jpg"	0.058	0.214	0.006	0.722
"219"	"f000/wlh2_000928.jpg"	0.038	0.75	0	0.212
"220"	"f000/wlh2_000203.jpg"	0.034	0.038	0	0.928
"221"	"f000/wlh2_000989.jpg"	0.996	0	0	0.004
"222"	"f000/wlh2_000487.jpg"	0.06	0.156	0.004	0.78
"223"	"f000/wlh2_000314.jpg"	0.854	0.1	0.002	0.044
"224"	"f000/wlh2_000546.jpg"	0.998	0.002	0	0
"225"	"f000/wlh2_000699.jpg"	0.006	0.916	0	0.078
"226"	"f000/wlh2_000383.jpg"	0.424	0.196	0	0.38
"227"	"f000/wlh2_000033.jpg"	0.996	0.004	0	0
"228"	"f000/wlh2_000645.jpg"	0.122	0.714	0	0.164
"229"	"f000/wlh2_000336.jpg"	0.184	0.764	0	0.052
"230"	"f000/wlh2_000385.jpg"	0.312	0.468	0	0.22
"231"	"f000/wlh2_000497.jpg"	0.99	0.002	0	0.008
"232"	"f000/wlh2_000428.jpg"	0.084	0.638	0	0.278
"233"	"f000/wlh2_000088.jpg"	0.8	0.144	0.002	0.054
"234"	"f000/wlh2_000927.jpg"	0.024	0.904	0	0.072
"235"	"f000/wlh2_000486.jpg"	0.678	0.08	0	0.242
"236"	"f000/wlh2_000381.jpg"	0.544	0.294	0.002	0.16
"237"	"f000/wlh2_000593.jpg"	0.258	0.584	0.002	0.156
"238"	"f000/wlh2_000522.jpg"	1	0	0	0
"239"	"f000/wlh2_000694.jpg"	0.088	0.224	0	0.688
"240"	"f000/wlh2_000972.jpg"	0.99	0.004	0	0.006
"241"	"f000/wlh2_000023.jpg"	0.998	0	0	0.002
"242"	"f000/wlh2_000329.jpg"	0.086	0.256	0.006	0.652
"243"	"f000/wlh2_000990.jpg"	0.99	0.002	0	0.008
"244"	"f000/wlh2_000850.jpg"	0.698	0.222	0.004	0.076
"245"	"f000/wlh2_000199.jpg"	0.872	0.066	0	0.062
