"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Seagrasses"	"Senile.coral.reef"
"148"	"f004/elh2_004570.jpg"	0.004	0.1	0	0	0.896
"149"	"f004/elh2_004303.jpg"	0	0.7	0.11	0	0.19
"150"	"f004/elh2_004749.jpg"	0.674	0.156	0	0	0.17
"151"	"f004/elh2_004785.jpg"	0.444	0.342	0	0	0.214
"152"	"f004/elh2_004779.jpg"	0.342	0.186	0	0	0.472
"153"	"f004/elh2_004109.jpg"	0	0.026	0.974	0	0
"154"	"f004/elh2_004449.jpg"	0.022	0.438	0	0	0.54
"155"	"f004/elh2_004369.jpg"	0	0.908	0.006	0	0.086
"156"	"f004/elh2_004731.jpg"	0.096	0.22	0.002	0	0.682
"157"	"f004/elh2_004783.jpg"	0.802	0.146	0	0	0.052
"158"	"f004/elh2_004633.jpg"	0.026	0.226	0	0	0.748
"159"	"f004/elh2_004528.jpg"	0.012	0.17	0	0	0.818
"160"	"f004/elh2_004165.jpg"	0	0.392	0.572	0	0.036
"161"	"f004/elh2_004969.jpg"	0.074	0.488	0	0	0.438
"162"	"f004/elh2_004484.jpg"	0	0.594	0.026	0	0.38
"163"	"f004/elh2_004845.jpg"	0.018	0.822	0.002	0	0.158
"164"	"f004/elh2_004368.jpg"	0	0.872	0.042	0	0.086
"165"	"f004/elh2_004811.jpg"	0.002	0.04	0	0	0.958
"166"	"f004/elh2_004860.jpg"	0.242	0.532	0	0	0.226
"167"	"f004/elh2_004974.jpg"	0.016	0.092	0	0	0.892
"168"	"f004/elh2_004065.jpg"	0	0	0.998	0	0.002
"169"	"f004/elh2_004373.jpg"	0	0.918	0.024	0	0.058
"170"	"f004/elh2_004853.jpg"	0.168	0.58	0	0	0.252
"171"	"f004/elh2_004088.jpg"	0	0.048	0.952	0	0
"172"	"f004/elh2_004692.jpg"	0	0.054	0.004	0	0.942
"173"	"f004/elh2_004270.jpg"	0.002	0.618	0.07	0	0.31
"174"	"f004/elh2_004105.jpg"	0	0.08	0.912	0	0.008
"175"	"f004/elh2_004169.jpg"	0	0.376	0.29	0	0.334
"176"	"f004/elh2_004621.jpg"	0.002	0.15	0	0	0.848
"177"	"f004/elh2_004716.jpg"	0.056	0.66	0	0	0.284
"178"	"f004/elh2_004058.jpg"	0	0	1	0	0
"179"	"f004/elh2_004510.jpg"	0.012	0.674	0	0	0.314
"180"	"f004/elh2_004531.jpg"	0.038	0.216	0	0	0.746
